president,bucket,row_id,row_type,source_title,source_date,url,fit,recommended_use,notes
"Barack Obama","Taxes / Economy",18,"action","American Recovery and Reinvestment Act of 2009 - Making Work Pay Credit","2009-01-26","https://www.congress.gov/bill/111th-congress/house-bill/1/text/ih","high","direct_attach","Direct statutory text for the Making Work Pay credit."
"Barack Obama","Taxes / Economy",21,"action","American Taxpayer Relief Act of 2012","2013-01-02","https://www.congress.gov/bill/112th-congress/house-bill/8","high","direct_attach","Best direct source for the fiscal-cliff deal raising top rates while extending lower rates for many taxpayers."
"Barack Obama","Taxes / Economy",15,"outcome","American Taxpayer Relief Act of 2012","2013-01-02","https://www.congress.gov/bill/112th-congress/house-bill/8","high","direct_attach","Best single official source for the negotiated partial rollback outcome."
"Barack Obama","Voting Rights / Civil Rights",75,"action","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-01-06","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best direct source for introduction and bill substance."
"Barack Obama","Voting Rights / Civil Rights",76,"action","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-06-12 latest action","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best direct source for committee referral and stall."
"Barack Obama","Voting Rights / Civil Rights",38,"outcome","H.R.97 - Deceptive Practices and Voter Intimidation Prevention Act of 2009","2009-06-12 latest action","https://www.congress.gov/bill/111th-congress/house-bill/97","high","direct_attach","Best single source for the introduced-but-not-enacted outcome."
"Donald J. Trump","Climate / Energy",25,"action","Statement by President Trump on the Paris Climate Accord","2017-06-01","https://trumpwhitehouse.archives.gov/briefings-statements/statement-president-trump-paris-climate-accord/","medium","direct_attach","Direct announcement source; best official White House page if URL resolves in your workflow."
"Donald J. Trump","Climate / Energy",26,"action","United States National Statement at UNFCCC COP25","2019-12-11","https://2017-2021.state.gov/united-states-national-statement-at-unfccc-cop25/","high","direct_attach","Official State Department source confirming the formal withdrawal timetable after U.S. notification."
"Donald J. Trump","Courts / Judiciary",30,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Gorsuch nomination date."
"Donald J. Trump","Courts / Judiciary",31,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Kavanaugh nomination date."
"Donald J. Trump","Courts / Judiciary",32,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source listing Barrett nomination date."
"Donald J. Trump","Courts / Judiciary",21,"outcome","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Best single official source for the three-confirmation outcome."
"Donald J. Trump","Education / HBCUs",77,"action","Presidential Executive Order on The White House Initiative to Promote Excellence and Innovation at Historically Black Colleges and Universities","2017-02-28","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-executive-order-white-house-initiative-promote-excellence-innovation-historically-black-colleges-universities/","high","direct_attach","Direct source for the HBCU initiative order."
"Donald J. Trump","Education / HBCUs",78,"action","H.R.5363 - FUTURE Act","2019-12-19","https://www.congress.gov/bill/116th-congress/house-bill/5363/actions","high","direct_attach","Best direct source for enactment and signature of the FUTURE Act."
"Donald J. Trump","Foreign Policy / Middle East",27,"action","Presidential Proclamation Recognizing Jerusalem as the Capital of the State of Israel and Relocating the United States Embassy to Israel to Jerusalem","2017-12-06","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-proclamation-recognizing-jerusalem-capital-state-israel-relocating-united-states-embassy-israel-jerusalem/","high","direct_attach","Direct source for recognition of Jerusalem."
"Donald J. Trump","Foreign Policy / Middle East",28,"action","President Donald J. Trump Keeps His Promise To Open U.S. Embassy In Jerusalem, Israel","2018-05-14","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-keeps-promise-open-u-s-embassy-jerusalem-israel/","high","direct_attach","Best direct White House source for embassy opening."
"Donald J. Trump","Foreign Policy / Middle East",19,"outcome","President Donald J. Trump Keeps His Promise To Open U.S. Embassy In Jerusalem, Israel","2018-05-14","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-keeps-promise-open-u-s-embassy-jerusalem-israel/","high","direct_attach","Best single official source for the moved-embassy outcome."
"Donald J. Trump","Health Care",33,"action","H.R.1628 - American Health Care Act of 2017","2017-05-04 House passage","https://www.congress.gov/bill/115th-congress/house-bill/1628/actions","high","direct_attach","Direct source for House passage of ACA repeal legislation."
"Donald J. Trump","Health Care",22,"outcome","H.R.1628 - American Health Care Act of 2017","latest action status","https://www.congress.gov/bill/115th-congress/house-bill/1628","high","direct_attach","Best single official source showing repeal legislation did not become law."
"Donald J. Trump","Health Care / Medicaid",91,"action","H.R.1628 - American Health Care Act of 2017","2017-05-04 House passage","https://www.congress.gov/bill/115th-congress/house-bill/1628","high","direct_attach","CRS summary on bill page directly describes major Medicaid changes and spending reductions."
"Donald J. Trump","Health Care / Medicaid",92,"action","Motion to Proceed to H.R. 1628 – American Health Care Act of 2017","2017-07-24","https://trumpwhitehouse.archives.gov/briefings-statements/motion-proceed-h-r-1628-american-health-care-act-2017/","high","direct_attach","Direct administration source showing Trump urging Senate Republicans to keep pursuing repeal."
"Donald J. Trump","Health Care / Medicaid",93,"action","President Trump's First Budget Commits Significant Resources to Fight the Opioid Epidemic","2017-05-23","https://trumpwhitehouse.archives.gov/briefings-statements/president-trumps-first-budget-commits-significant-resources-fight-opioid-epidemic/","low","provisional","Budget-context source from Trump White House; use only as best-available bridge to broader administration budget proposals affecting Medicaid and healthcare spending."
"Donald J. Trump","Immigration / Border Security",23,"action","Executive Order: Border Security and Immigration Enforcement Improvements","2017-01-25","https://trumpwhitehouse.archives.gov/presidential-actions/executive-order-border-security-immigration-enforcement-improvements/","high","direct_attach","Direct source for border wall planning and enforcement expansion."
"Donald J. Trump","Immigration / Border Security",24,"action","Presidential Proclamation on Declaring a National Emergency Concerning the Southern Border of the United States","2019-02-15","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-proclamation-declaring-national-emergency-concerning-southern-border-united-states/","high","direct_attach","Direct source for emergency powers and redirected wall funding."
"Donald J. Trump","Immigration / National Security",34,"action","Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States","2017-01-27","https://trumpwhitehouse.archives.gov/presidential-actions/executive-order-protecting-nation-foreign-terrorist-entry-united-states/","high","direct_attach","Direct source for the first travel-ban order."
"Donald J. Trump","Taxes / Economy",35,"action","President Donald J. Trump Signs H.R. 1370 and H.R. 1 into Law","2017-12-22","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-signs-h-r-1370-h-r-1-law/","high","direct_attach","Direct White House signing source for the Tax Cuts and Jobs Act."
"Donald J. Trump","Taxes / Economy",24,"outcome","President Donald J. Trump Signs H.R. 1370 and H.R. 1 into Law","2017-12-22","https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-signs-h-r-1370-h-r-1-law/","high","direct_attach","Best single official source for the enacted tax-cut package outcome."
"Donald J. Trump","Trade",22,"action","Presidential Memorandum Regarding Withdrawal of the United States from the Trans-Pacific Partnership Negotiations and Agreement","2017-01-23","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-memorandum-regarding-withdrawal-united-states-trans-pacific-partnership-negotiations-agreement/","high","direct_attach","Direct source for U.S. withdrawal from TPP negotiations."
"Donald J. Trump","Trade",16,"outcome","Presidential Memorandum Regarding Withdrawal of the United States from the Trans-Pacific Partnership Negotiations and Agreement","2017-01-23","https://trumpwhitehouse.archives.gov/presidential-actions/presidential-memorandum-regarding-withdrawal-united-states-trans-pacific-partnership-negotiations-agreement/","high","direct_attach","Best single official source for the TPP withdrawal outcome."
"Donald J. Trump","Trade / Manufacturing",29,"action","H.R.5430 - United States-Mexico-Canada Agreement Implementation Act","2020-01-29","https://www.congress.gov/index.php/bill/116th-congress/house-bill/5430/all-info","high","direct_attach","Direct official source for enactment and signature of the USMCA implementation bill."
"Donald J. Trump","Trade / Manufacturing",20,"outcome","H.R.5430 - United States-Mexico-Canada Agreement Implementation Act","2020-01-29","https://www.congress.gov/index.php/bill/116th-congress/house-bill/5430/all-info","high","direct_attach","Best single official source for NAFTA replacement through USMCA."
"Joseph R. Biden Jr.","Climate",37,"action","Tackling the Climate Crisis at Home and Abroad","2021-01-27","https://www.federalregister.gov/documents/2021/02/01/2021-02177/tackling-the-climate-crisis-at-home-and-abroad","high","direct_attach","Best direct source for first-day Paris reentry process through EO 14008."
"Joseph R. Biden Jr.","Climate / Energy",38,"action","Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis","2021-01-20","https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis","high","direct_attach","Direct source revoking the Keystone XL permit."
"Joseph R. Biden Jr.","Courts / Criminal Justice",129,"action","The Biden Plan for Strengthening America's Commitment to Justice","campaign","https://joebiden.com/justice/","medium","direct_attach","Best campaign-platform source for the pledge to eliminate the federal death penalty."
"Joseph R. Biden Jr.","Courts / Criminal Justice",130,"action","Attorney General Merrick B. Garland Imposes a Moratorium on Federal Executions; Orders Review of Policies and Procedures","2021-07-01","https://www.justice.gov/archives/opa/pr/attorney-general-merrick-b-garland-imposes-moratorium-federal-executions-orders-review","high","direct_attach","Direct DOJ source for the moratorium."
"Joseph R. Biden Jr.","Courts / Criminal Justice",131,"action","Statement from President Joe Biden on Clemency","2024-12-23","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2024/12/23/statement-from-president-joe-biden-on-clemency/","low","provisional","Use if URL resolves in your workflow; intended as the White House source for commutations of most federal death-row sentences."
"Joseph R. Biden Jr.","Courts / Representation",39,"action","Press Release: Nominations Sent to the Senate","2022-02-28","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/02/28/press-release-nominations-sent-to-the-senate-6/","high","direct_attach","Direct White House source for Ketanji Brown Jackson's nomination."
"Joseph R. Biden Jr.","Criminal Justice / DOJ Enforcement",96,"action","Reforming Our Incarceration System To Eliminate the Use of Privately Operated Criminal Detention Facilities","2021-01-26","https://www.federalregister.gov/documents/2021/01/29/2021-02071/reforming-our-incarceration-system-to-eliminate-the-use-of-privately-operated-criminal-detention","medium","direct_attach","Direct EO source if URL resolves; best official source for phasing out DOJ private prisons."
"Joseph R. Biden Jr.","Criminal Justice / DOJ Enforcement",97,"action","Reforming Our Incarceration System To Eliminate the Use of Privately Operated Criminal Detention Facilities","2021-01-26","https://www.federalregister.gov/documents/2021/01/29/2021-02071/reforming-our-incarceration-system-to-eliminate-the-use-of-privately-operated-criminal-detention","medium","direct_attach","Best source for DOJ-side footprint reduction, though follow-up implementation evidence may still be useful."
"Joseph R. Biden Jr.","Criminal Justice / DOJ Enforcement",98,"action","ICE Detention Statistics","n/a","https://www.ice.gov/detain/detention-management","low","provisional","Best official agency landing page I can recommend for documenting continued immigration detention; likely needs a more specific ICE dataset or report."
"Joseph R. Biden Jr.","Criminal Justice / DOJ Enforcement",47,"outcome","ICE Detention Statistics","n/a","https://www.ice.gov/detain/detention-management","low","provisional","Outcome needs a two-source join in practice: DOJ private-prison EO plus evidence of ongoing ICE private detention."
"Joseph R. Biden Jr.","Criminal Justice / Pretrial Detention",99,"action","The Biden Plan for Strengthening America's Commitment to Justice","campaign","https://joebiden.com/justice/","medium","direct_attach","Best campaign-platform source for support for ending cash bail."
"Joseph R. Biden Jr.","Criminal Justice / Pretrial Detention",100,"action","The Biden Plan for Strengthening America's Commitment to Justice","campaign","https://joebiden.com/justice/","low","provisional","This row is really about early non-action; campaign promise page is supporting context, not complete proof."
"Joseph R. Biden Jr.","Criminal Justice / Pretrial Detention",101,"action","The Biden Plan for Strengthening America's Commitment to Justice","campaign","https://joebiden.com/justice/","low","provisional","Needs targeted legislative-status research for a stronger direct source."
"Joseph R. Biden Jr.","Criminal Justice / Pretrial Detention",48,"outcome","The Biden Plan for Strengthening America's Commitment to Justice","campaign","https://joebiden.com/justice/","low","provisional","Outcome is absence-based and needs a better Congress/legislation trail if you want a stricter attach."
"Joseph R. Biden Jr.","Economic Policy / Anti-Poverty Tax Credits",136,"action","The Biden Plan to Provide Relief from the COVID-19 Crisis and Build a Stronger, More Equitable Economy","campaign","https://joebiden.com/build-back-better/","low","provisional","Best-available campaign source for the expanded refundable Child Tax Credit promise."
"Joseph R. Biden Jr.","Economic Policy / Anti-Poverty Tax Credits",137,"action","H.R.1319 - American Rescue Plan Act of 2021","2021-03-11","https://www.congress.gov/bill/117th-congress/house-bill/1319","high","direct_attach","Direct official source for the ARP Child Tax Credit expansion."
"Joseph R. Biden Jr.","Economic Policy / Anti-Poverty Tax Credits",138,"action","H.R.1319 - American Rescue Plan Act of 2021","2021 law with temporary 2021 rules","https://www.congress.gov/bill/117th-congress/house-bill/1319/text/eh","medium","direct_attach","Text shows the expansion was temporary; useful for the expiration row."
"Joseph R. Biden Jr.","Economic Policy / Anti-Poverty Tax Credits",59,"outcome","H.R.1319 - American Rescue Plan Act of 2021","2021-03-11","https://www.congress.gov/bill/117th-congress/house-bill/1319","high","direct_attach","Best single official source for the temporary expansion outcome."
"Joseph R. Biden Jr.","Education / HBCUs / MSIs",81,"action","Advancing Equity Through the American Rescue Plan","2022-05","https://www.whitehouse.gov/wp-content/uploads/2022/05/ADVANCING-EQUITY-THROUGH-THE-AMERICAN-RESCUE-PLAN.pdf","high","direct_attach","Useful White House document for ARP institutional support reaching HBCUs and MSIs."
"Joseph R. Biden Jr.","Education / HBCUs / MSIs",82,"action","Fact Sheet: President Biden Announces Student Loan Relief for Borrowers Who Need It Most","2022-08-24","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/08/24/fact-sheet-president-biden-announces-student-loan-relief-for-borrowers-who-need-it-most/","medium","direct_attach","Best official source for Pell-enhanced relief if URL resolves in your workflow."
"Joseph R. Biden Jr.","Education / HBCUs / MSIs",83,"action","Fact Sheet: Biden-Harris Administration Announces Record Support for HBCUs","2024","https://bidenwhitehouse.archives.gov/?s=HBCU+record+support","low","provisional","Needs targeted follow-up for a cleaner one-to-one White House HBCU totals page."
"Joseph R. Biden Jr.","Education / Student Debt",40,"action","Fact Sheet: President Biden Announces Student Loan Relief for Borrowers Who Need It Most","2022-08-24","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/08/24/fact-sheet-president-biden-announces-student-loan-relief-for-borrowers-who-need-it-most/","medium","direct_attach","Best official source for the broad debt-relief plan if URL resolves."
"Joseph R. Biden Jr.","Education / Student Debt",41,"action","Biden v. Nebraska","2023-06-30","https://www.supremecourt.gov/opinions/22pdf/22-506_nmip.pdf","high","direct_attach","Direct Supreme Court source blocking the main plan."
"Joseph R. Biden Jr.","Education / Student Debt",29,"outcome","Remarks by President Biden and Vice President Harris at a Campaign Event | Philadelphia, PA","2024-05-29","https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2024/05/29/remarks-by-president-biden-and-vice-president-harris-at-a-campaign-event-philadelphia-pa/","medium","direct_attach","Useful White House archive source acknowledging Court block while citing targeted relief; not ideal but serviceable."
"Joseph R. Biden Jr.","Environmental Justice",102,"action","Tackling the Climate Crisis at Home and Abroad","2021-01-27","https://www.federalregister.gov/documents/2021/02/01/2021-02177/tackling-the-climate-crisis-at-home-and-abroad","high","direct_attach","Direct EO source for Justice40 launch."
"Joseph R. Biden Jr.","Environmental Justice",103,"action","H.R.3684 - Infrastructure Investment and Jobs Act","2021-11-15","https://www.congress.gov/bill/117th-congress/house-bill/3684","medium","direct_attach","Best official law source for major infrastructure programs later linked to Justice40."
"Joseph R. Biden Jr.","Environmental Justice",104,"action","Justice40 Initiative Covered Programs List","2023-11","https://www.whitehouse.gov/wp-content/uploads/2023/11/Justice40-Initiative-Covered-Programs-List_v2.0_11.23_FINAL.pdf","high","direct_attach","Direct White House document tying IRA-funded and other programs into Justice40."
"Joseph R. Biden Jr.","Environmental Justice",49,"outcome","One-Year Wrap-Up: Highlights from the Council on Environmental Quality’s Progress","2022-01-20","https://bidenwhitehouse.archives.gov/ceq/news-updates/2022/01/20/one-year-wrap-up-highlights-from-the-council-on-environmental-qualitys-progress-in-tackling-the-climate-crisis-advancing-environmental-justice-conserving-and-restoring-lands-and-waters-bo/","medium","direct_attach","Best official wrap-up source for framework launch and implementation limits."
"Joseph R. Biden Jr.","Government Equity / Racial Justice",42,"action","Advancing Racial Equity and Support for Underserved Communities Through the Federal Government","2021-01-20","https://www.federalregister.gov/documents/2021/01/25/2021-01753/advancing-racial-equity-and-support-for-underserved-communities-through-the-federal-government","high","direct_attach","Direct EO source for the federal equity framework."
"Joseph R. Biden Jr.","Government Equity / Racial Justice",43,"action","The White House Office of Science and Technology Equity Action Plan","2022-04-14","https://bidenwhitehouse.archives.gov/ostp/news-updates/2022/04/14/the-white-house-office-of-science-and-technology-equity-action-plan/","medium","direct_attach","Representative agency equity-plan source showing implementation work."
"Joseph R. Biden Jr.","Government Equity / Racial Justice",30,"outcome","Advancing Racial Equity and Support for Underserved Communities Through the Federal Government","2021-01-20","https://www.federalregister.gov/documents/2021/01/25/2021-01753/advancing-racial-equity-and-support-for-underserved-communities-through-the-federal-government","high","direct_attach","Best single source for the established framework; implementation-evaluation rows may still benefit from a second source."
"Joseph R. Biden Jr.","Health Care",94,"action","Health Care Emergency Guarantee Act of 2021","2021","https://www.congress.gov/bill/117th-congress/house-bill/377/text","low","provisional","Needs targeted review; this is only a placeholder congressional public-option-related bill source and may not match the exact row."
"Joseph R. Biden Jr.","Health Care",95,"action","H.R.1319 - American Rescue Plan Act of 2021","2021-03-11","https://www.congress.gov/bill/117th-congress/house-bill/1319","medium","direct_attach","Best official source for ACA subsidy expansion while no public option was enacted."
"Joseph R. Biden Jr.","Health Care",46,"outcome","H.R.1319 - American Rescue Plan Act of 2021","2021-03-11","https://www.congress.gov/bill/117th-congress/house-bill/1319","medium","direct_attach","Serviceable official source for strengthened ACA without a public option."
"Joseph R. Biden Jr.","Housing / Affordability",79,"action","ARP HUD Fact Sheet","2021-03","https://www.whitehouse.gov/wp-content/uploads/2021/03/ARP-HUD-Fact-Sheet.pdf","high","direct_attach","Direct White House/HUD fact sheet for rental, homeowner, voucher, and homelessness support."
"Joseph R. Biden Jr.","Housing / Affordability",80,"action","Fact Sheet: Biden-Harris Administration Housing Supply Action Plan","2022-05-16","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/05/16/fact-sheet-biden-harris-administration-housing-supply-action-plan/","medium","direct_attach","Best official source for the Housing Supply Action Plan if URL resolves."
"Joseph R. Biden Jr.","Housing / Affordability",40,"outcome","The Biden-Harris Economic Blueprint","2022-09","https://www.whitehouse.gov/wp-content/uploads/2022/09/Biden-Economic-Blueprint-Report-720PM-MASTER-DOC.pdf","medium","direct_attach","Useful official summary source for combined housing-assistance and supply-side agenda, while showing the plan was broader than enacted results."
"Joseph R. Biden Jr.","Infrastructure / Economy",44,"action","H.R.3684 - Infrastructure Investment and Jobs Act","2021-11-15","https://www.congress.gov/bill/117th-congress/house-bill/3684","high","direct_attach","Direct official law source for IIJA enactment."
"Joseph R. Biden Jr.","Labor / Workers",48,"action","Statement by President Joe Biden on the Amazon Workers Union in Alabama","2021-03-01","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2021/03/01/statement-by-president-joe-biden-on-the-amazon-workers-union-in-alabama/","medium","direct_attach","Best official source for Bessemer organizing support if URL resolves."
"Joseph R. Biden Jr.","Labor / Workers",49,"action","President Biden Announces Key Nominees","2021","https://bidenwhitehouse.archives.gov/?s=NLRB","low","provisional","Needs targeted follow-up for a cleaner White House or NLRB nomination/appointment page for Abruzzo/Wilcox."
"Joseph R. Biden Jr.","Labor / Workers",35,"outcome","H.R.842 - Protecting the Right to Organize Act of 2021","2021","https://www.congress.gov/bill/117th-congress/house-bill/842","medium","direct_attach","Useful official source for major legislative reform stalling while labor policy still shifted administratively."
"Joseph R. Biden Jr.","LGBTQ Rights / Military",45,"action","Enabling All Qualified Americans To Serve Their Country in Uniform","2021-01-25","https://regulations.justia.com/regulations/fedreg/2021/01/28/2021-02034.html","high","direct_attach","Direct publication of EO 14004 restoring transgender military service."
"Joseph R. Biden Jr.","Public Health / COVID-19",46,"action","Remarks by President Biden on the COVID-19 Response and the Vaccination Program","2021-04-21","https://bidenwhitehouse.archives.gov/briefing-room/speeches-remarks/2021/04/21/remarks-by-president-biden-on-the-covid-19-response-and-the-vaccination-program-2/","medium","direct_attach","Best official source for raising the vaccination goal to 200 million shots if URL resolves."
"Joseph R. Biden Jr.","Voting Rights / Criminal Justice",84,"action","H.R.1 - For the People Act of 2021","2021-03-03 House passage","https://www.congress.gov/bill/117th-congress/house-bill/1","medium","direct_attach","Official bill page for the House-passed voting-rights vehicle backed by the White House."
"Joseph R. Biden Jr.","Voting Rights / Criminal Justice",85,"action","S.2093 - For the People Act of 2021","2021 Senate cloture failure","https://www.congress.gov/bill/117th-congress/senate-bill/2093","medium","direct_attach","Best official bill page for Senate failure to advance the major federal voting bill."
"Joseph R. Biden Jr.","Voting Rights / Criminal Justice",42,"outcome","S.2093 - For the People Act of 2021","2021 Senate cloture failure","https://www.congress.gov/bill/117th-congress/senate-bill/2093","medium","direct_attach","Best single official source for the stalled legislative path relevant to the voting-rights restoration promise."
"Joseph R. Biden Jr.","Workers / Wages",47,"action","H.R.603 - Raise the Wage Act of 2021","2021-01-28","https://www.congress.gov/bill/117th-congress/house-bill/603","high","direct_attach","Direct official source for reintroduction of Raise the Wage Act."
"Joseph R. Biden Jr.","Workers / Wages",34,"outcome","H.R.603 - Raise the Wage Act of 2021","latest action status","https://www.congress.gov/bill/117th-congress/house-bill/603","high","direct_attach","Best single official source showing no federal $15 minimum wage was enacted."
